x,y
2.143722943722943626e+02,3.238744588744577868e+01
1.425757575757575921e+02,9.028787878787869658e+01
1.912121212121212182e+02,8.565584415584407907e+01
2.421645021645021814e+02,8.565584415584407907e+01
2.942748917748917847e+02,8.565584415584407907e+01
1.402597402597402549e+02,1.389242424242423226e+02
1.888961038961038810e+02,1.389242424242423226e+02
2.386904761904761756e+02,1.400822510822509912e+02
2.884848484848484986e+02,1.366082251082250423e+02
2.074242424242424079e+02,1.968246753246752405e+02
2.085822510822510765e+02,2.697792207792207364e+02
2.097402597402597451e+02,3.427337662337661754e+02
