#Wave,#Intensity
1998.90625,5525.325684
1997.375,5561.184082
1995.841797,5588.107422
1994.306641,5699.174805
1992.773438,5623.222656
1991.238281,5547.301758
1989.705078,5533.710449
1988.169922,5661.825195
1986.634766,5573.487305
1985.099609,5578.576172
1983.5625,5647.466797
1982.027344,5596.525879
1980.490234,5685.606445
1978.955078,5675.114746
1977.417969,5669.291504
1975.878906,5543.764648
1974.341797,5645.216797
1972.804688,5665.819824
1971.265625,5714.380371
1969.726562,5717.873535
1968.1875,5654.584473
1966.648438,5785.410156
1965.109375,5569.997559
1963.570312,5693.026367
1962.029297,5646.862305
1960.488281,5794.646973
1958.947266,5754.685059
1957.40625,5744.204102
1955.865234,5783.343262
1954.324219,5695.351562
1952.78125,5827.475098
1951.240234,5841.779785
1949.697266,5694.958008
1948.154297,5715.478516
1946.609375,5649.269043
1945.066406,5680.62793
1943.523438,5792.467285
1941.978516,5701.519531
1940.433594,5802.477051
1938.888672,5737.862793
1937.34375,5656.26123
1935.798828,5777.268066
1934.251953,5850.296875
1932.705078,5873.832031
1931.160156,5713.450684
1929.613281,5757.089844
1928.066406,5799.166016
1926.517578,5785.623535
1924.970703,5728.849121
1923.421875,5662.834961
1921.873047,5769.723145
1920.324219,5782.430664
1918.775391,5694.844727
1917.226562,5783.148438
1915.677734,5769.625977
1914.126953,5834.748535
1912.576172,5754.929688
1911.025391,5719.842285
1909.474609,5860.442871
1907.923828,5871.567871
1906.373047,5777.942383
1904.820312,5893.803223
1903.267578,5740.161133
1901.716797,5905.242676
1900.162109,5854.78125
1898.609375,5821.266602
1897.056641,5738.533691
1895.501953,5903.479492
1893.949219,5894.57959
1892.394531,5947.185059
1890.839844,5833.748535
1889.285156,5881.733398
1887.728516,5974.259277
1886.173828,6006.832031
1884.617188,5927.266113
1883.060547,5930.657227
1881.503906,5891.057617
1879.947266,5874.498535
1878.390625,6077.408691
1876.832031,5979.495117
1875.273438,6134.743652
1873.716797,6128.883301
1872.158203,6170.561523
1870.597656,5959.257324
1869.039062,6094.454102
1867.480469,6237.257324
1865.919922,6006.149902
1864.359375,6106.02002
1862.798828,6238.01123
1861.238281,6271.94873
1859.677734,6154.310547
1858.115234,6154.577148
1856.554688,6179.328125
1854.992188,6147.459473
1853.429688,6187.497559
1851.867188,6230.577637
1850.302734,6181.896973
1848.740234,6194.385254
1847.175781,6147.260254
1845.611328,6275.884766
1844.048828,6244.039551
1842.482422,6386.337891
1840.917969,6265.907227
1839.353516,6247.824219
1837.787109,6234.327148
1836.220703,6208.625977
1834.654297,6312.63623
1833.087891,6334.222168
1831.521484,6183.442871
1829.955078,6336.191895
1828.386719,6334.888184
1826.818359,6275.660645
1825.25,6388.670898
1823.681641,6256.318359
1822.113281,6364.714844
1820.542969,6313.143555
1818.974609,6381.891602
1817.404297,6347.084473
1815.833984,6255.972168
1814.263672,6330.775391
1812.693359,6330.993652
1811.121094,6419.440918
1809.550781,6428.765137
1807.978516,6336.20752
1806.40625,6410.915527
1804.833984,6350.317383
1803.261719,6479.697754
1801.6875,6399.358398
1800.115234,6454.243652
1798.541016,6375.460938
1796.966797,6406.033203
1795.392578,6459.36377
1793.818359,6319.91748
1792.242188,6359.585938
1790.667969,6397.720703
1789.091797,6464.658691
1787.515625,6486.07373
1785.939453,6433.186035
1784.363281,6471.272949
1782.785156,6418.40918
1781.208984,6486.787598
1779.630859,6408.187988
1778.052734,6476.539551
1776.474609,6493.375488
1774.896484,6554.110352
1773.318359,6584.545898
1771.738281,6605.888184
1770.158203,6457.758301
1768.578125,6574.42041
1766.998047,6501.979492
1765.417969,6555.074219
1763.837891,6535.57959
1762.255859,6646.082031
1760.673828,6531.371094
1759.091797,6566.28418
1757.509766,6454.657227
1755.927734,6679.862793
1754.345703,6587.887207
1752.761719,6681.633789
1751.177734,6609.315918
1749.59375,6710.563477
1748.009766,6669.951172
1746.425781,6654.998047
1744.841797,6655.131348
1743.255859,6727.637207
1741.669922,6673.486328
1740.083984,6762.536133
1738.498047,6703.878906
1736.912109,6827.534668
1735.326172,6771.900391
1733.738281,6598.828613
1732.150391,6751.03418
1730.5625,6817.375977
1728.974609,6892.719238
1727.386719,6813.052734
1725.796875,6828.191406
1724.208984,6792.187012
1722.619141,6864.464355
1721.029297,6826.962891
1719.439453,6917.239746
1717.849609,6926.328613
1716.257812,6978.984863
1714.667969,7012.090332
1713.076172,6916.022949
1711.484375,7043.724609
1709.892578,7043.768066
1708.300781,6965.763672
1706.707031,6946.314453
1705.115234,7061.899902
1703.521484,6968.938965
1701.927734,7076.972656
1700.333984,7006.536621
1698.738281,6970.60791
1697.144531,7071.079102
1695.548828,6996.191406
1693.953125,7098.112793
1692.357422,7048.712891
1690.761719,7095.172852
1689.166016,7198.506836
1687.568359,7252.399902
1685.972656,7092.260742
1684.375,7289.794434
1682.777344,7204.510254
1681.179688,7220.964844
1679.582031,7223.95459
1677.982422,7261.327637
1676.382812,7192.560547
1674.783203,7214.97998
1673.183594,7229.918945
1671.583984,7267.258301
1669.984375,7309.062012
1668.382812,7294.10791
1666.783203,7388.138184
1665.181641,7559.741211
1663.580078,7549.219727
1661.978516,7577.492188
1660.375,7504.322266
1658.773438,7463.991699
1657.169922,7708.45752
1655.566406,7697.913574
1653.962891,7623.287598
1652.359375,7696.208984
1650.753906,7673.754883
1649.150391,7731.740234
1647.544922,7803.103027
1645.939453,7843.17041
1644.333984,7930.853516
1642.728516,7950.041504
1641.123047,8048.080566
1639.515625,8025.58252
1637.908203,8123.563965
1636.300781,8215.556641
1634.693359,8264.396484
1633.085938,8305.78418
1631.476562,8390.25
1629.869141,8392.963867
1628.259766,8313.976562
1626.650391,8545.414062
1625.041016,8530.274414
1623.431641,8635.386719
1621.820312,8848.800781
1620.210938,8743.088867
1618.599609,8929.685547
1616.988281,8929.3125
1615.376953,8989.740234
1613.763672,9158.376953
1612.152344,9214.28418
1610.539062,9246.454102
1608.925781,9057.833008
1607.3125,9322.605469
1605.699219,9336.958008
1604.085938,9349.823242
1602.470703,9555.148438
1600.855469,9372.576172
1599.242188,9417.982422
1597.625,9512.194336
1596.009766,9473.233398
1594.394531,9573.30957
1592.777344,9532.87207
1591.162109,9647.676758
