#Wave,#Intensity
1998.90625,4564.941895
1997.375,4552.469238
1995.841797,4545.305664
1994.306641,4583.339355
1992.773438,4456.197754
1991.238281,4385.187988
1989.705078,4558.730469
1988.169922,4455.02832
1986.634766,4449.44873
1985.099609,4551.270996
1983.5625,4491.206543
1982.027344,4409.383789
1980.490234,4559.374512
1978.955078,4490.012695
1977.417969,4534.188965
1975.878906,4508.389648
1974.341797,4566.532715
1972.804688,4526.750488
1971.265625,4482.32373
1969.726562,4594.802734
1968.1875,4603.182617
1966.648438,4662.79834
1965.109375,4503.501465
1963.570312,4709.008301
1962.029297,4715.804688
1960.488281,4612.446289
1958.947266,4614.605957
1957.40625,4655.534668
1955.865234,4674.739746
1954.324219,4605.57666
1952.78125,4545.740723
1951.240234,4623.838379
1949.697266,4766.971191
1948.154297,4648.279297
1946.609375,4590.03125
1945.066406,4632.444336
1943.523438,4629.949219
1941.978516,4596.501953
1940.433594,4570.804688
1938.888672,4608.544922
1937.34375,4581.308594
1935.798828,4697.895996
1934.251953,4766.507812
1932.705078,4634.144043
1931.160156,4645.55957
1929.613281,4588.984863
1928.066406,4688.45752
1926.517578,4684.40918
1924.970703,4718.96582
1923.421875,4659.333984
1921.873047,4737.100098
1920.324219,4685.204102
1918.775391,4614.814453
1917.226562,4680.200684
1915.677734,4668.446289
1914.126953,4687.535645
1912.576172,4757.490723
1911.025391,4645.541504
1909.474609,4747.836914
1907.923828,4765.353027
1906.373047,4736.649902
1904.820312,4698.717773
1903.267578,4767.043457
1901.716797,4735.27832
1900.162109,4718.916504
1898.609375,4868.751465
1897.056641,4753.905762
1895.501953,4731.396973
1893.949219,4705.821777
1892.394531,4787.883789
1890.839844,4748.47168
1889.285156,4793.60498
1887.728516,4849.475586
1886.173828,4865.380371
1884.617188,4746.11377
1883.060547,4924.810547
1881.503906,4839.356934
1879.947266,4816.874023
1878.390625,4891.085938
1876.832031,4951.458008
1875.273438,4941.237305
1873.716797,4973.96582
1872.158203,5006.681152
1870.597656,5013.318848
1869.039062,4880.468262
1867.480469,5038.845703
1865.919922,5017.893066
1864.359375,4914.228027
1862.798828,4940.786621
1861.238281,5072.989746
1859.677734,5033.674805
1858.115234,5138.25293
1856.554688,5013.244141
1854.992188,5140.732422
1853.429688,5095.315918
1851.867188,5129.444336
1850.302734,5206.371582
1848.740234,5066.187988
1847.175781,5152.266113
1845.611328,5172.600586
1844.048828,5067.648438
1842.482422,5147.5625
1840.917969,5126.651367
1839.353516,5174.456543
1837.787109,5158.127441
1836.220703,5221.16748
1834.654297,5171.265137
1833.087891,5089.346191
1831.521484,5227.098633
1829.955078,5148.250977
1828.386719,5087.730957
1826.818359,5245.214844
1825.25,5193.843262
1823.681641,5179.061035
1822.113281,5135.34082
1820.542969,5265.268555
1818.974609,5188.046875
1817.404297,5232.652344
1815.833984,5225.486816
1814.263672,5268.544434
1812.693359,5176.169434
1811.121094,5266.375488
1809.550781,5166.433594
1807.978516,5185.137207
1806.40625,5226.636719
1804.833984,5248.359375
1803.261719,5242.719727
1801.6875,5211.253418
1800.115234,5433.473633
1798.541016,5251.630371
1796.966797,5327.985352
1795.392578,5307.152832
1793.818359,5204.370117
1792.242188,5260.959961
1790.667969,5276.564453
1789.091797,5301.262695
1787.515625,5291.070801
1785.939453,5317.271484
1784.363281,5211.580078
1782.785156,5309.01709
1781.208984,5213.977051
1779.630859,5331.067383
1778.052734,5322.394531
1776.474609,5265.267578
1774.896484,5344.42334
1773.318359,5350.889648
1771.738281,5389.133789
1770.158203,5301.777344
1768.578125,5389.935547
1766.998047,5506.793945
1765.417969,5469.366211
1763.837891,5359.387207
1762.255859,5323.516113
1760.673828,5384.376465
1759.091797,5522.266113
1757.509766,5419.917969
1755.927734,5417.288574
1754.345703,5493.177246
1752.761719,5448.263672
1751.177734,5474.306641
1749.59375,5350.946289
1748.009766,5462.993652
1746.425781,5472.423828
1744.841797,5525.583984
1743.255859,5455.085449
1741.669922,5452.451172
1740.083984,5475.438477
1738.498047,5554.168945
1736.912109,5568.086426
1735.326172,5544.342773
1733.738281,5531.149414
1732.150391,5564.634766
1730.5625,5558.96875
1728.974609,5511.165527
1727.386719,5613.847168
1725.796875,5558.530273
1724.208984,5611.525879
1722.619141,5706.603027
1721.029297,5609.205078
1719.439453,5690.714844
1717.849609,5748.146484
1716.257812,5689.863281
1714.667969,5742.76416
1713.076172,5637.948242
1711.484375,5743.390625
1709.892578,5736.197266
1708.300781,5688.481934
1706.707031,5651.290039
1705.115234,5795.648926
1703.521484,5744.949707
1701.927734,5640.282715
1700.333984,5811.541992
1698.738281,5720.395508
1697.144531,5893.06543
1695.548828,5756.98584
1693.953125,5823.209473
1692.357422,5833.98584
1690.761719,5804.324707
1689.166016,5822.585938
1687.568359,6009.986816
1685.972656,5763.303711
1684.375,5895.276855
1682.777344,6036.170898
1681.179688,5984.067871
1679.582031,5951.425781
1677.982422,5826.105469
1676.382812,5995.294922
1674.783203,5947.725586
1673.183594,5988.327148
1671.583984,5946.753418
1669.984375,6047.07666
1668.382812,6107.04248
1666.783203,6011.726074
1665.181641,6019.43457
1663.580078,6074.890625
1661.978516,6078.106445
1660.375,6236.448242
1658.773438,6068.128418
1657.169922,6160.801758
1655.566406,6195.300293
1653.962891,6286.417969
1652.359375,6237.431152
1650.753906,6382.132812
1649.150391,6333.145508
1647.544922,6339.276855
1645.939453,6358.804199
1644.333984,6475.077637
1642.728516,6388.904785
1641.123047,6531.904785
1639.515625,6548.399414
1637.908203,6729.975586
1636.300781,6689.916504
1634.693359,6697.446777
1633.085938,6691.596191
1631.476562,6687.233887
1629.869141,6791.33252
1628.259766,6731.989258
1626.650391,6794.450684
1625.041016,6910.339355
1623.431641,6992.035156
1621.820312,7035.10791
1620.210938,7121.195312
1618.599609,7127.132812
1616.988281,7055.937012
1615.376953,7167.175293
1613.763672,7227.956543
1612.152344,7241.276855
1610.539062,7318.318848
1608.925781,7291.607422
1607.3125,7331.570312
1605.699219,7304.866211
1604.085938,7319.635254
1602.470703,7401.020508
1600.855469,7440.925781
1599.242188,7559.248047
1597.625,7553.23584
1596.009766,7493.972656
1594.394531,7655.098145
1592.777344,7592.879883
1591.162109,7662.259766
1589.544922,7526.163086
1587.927734,7616.215332
1586.308594,7651.564941
1584.691406,7781.43457
1583.072266,7760.615234
1581.455078,7758.999023
1579.835938,7741.144531
1578.214844,7683.448242
1576.595703,7650.86084
1574.976562,7585.830078
1573.355469,7644.722656
1571.734375,7789.120117
1570.113281,7676.920898
1568.492188,7601.619141
1566.871094,7651.615234
1565.248047,7738.425781
1563.626953,7699.984375
1562.003906,7686.59668
1560.380859,7601.061035
1558.757812,7617.142578
1557.132812,7634.688477
1555.509766,7580.119141
1553.884766,7574.124512
1552.259766,7604.905762
1550.634766,7662.145996
1549.009766,7639.962402
1547.382812,7544.285156
1545.757812,7517.725586
1544.130859,7621.956055
