//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 300 2,5dpa anneal.wip
GraphName = REFEL Si 300 2,5dpa RT No Window--Spectrum--031--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5519.10000002328
PositionY = 9406.00000002328
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 300 2,5dpa RT No Window--Spectrum--031--Spec.Data 1
 2.65845E+01	 1.34638E+03
 2.95325E+01	 1.34758E+03
 3.24795E+01	 1.34710E+03
 3.54254E+01	 1.34704E+03
 3.83703E+01	 1.34744E+03
 4.13142E+01	 1.34656E+03
 4.42570E+01	 1.34762E+03
 4.71989E+01	 1.34686E+03
 5.01397E+01	 1.34688E+03
 5.30795E+01	 1.34598E+03
 5.60182E+01	 1.34810E+03
 5.89559E+01	 1.35056E+03
 6.18927E+01	 1.35826E+03
 6.48283E+01	 1.37554E+03
 6.77630E+01	 1.40144E+03
 7.06967E+01	 1.42892E+03
 7.36293E+01	 1.44956E+03
 7.65609E+01	 1.46212E+03
 7.94915E+01	 1.46570E+03
 8.24211E+01	 1.47112E+03
 8.53496E+01	 1.47376E+03
 8.82771E+01	 1.47506E+03
 9.12037E+01	 1.47978E+03
 9.41292E+01	 1.48194E+03
 9.70536E+01	 1.49222E+03
 9.99771E+01	 1.49142E+03
 1.02900E+02	 1.49572E+03
 1.05821E+02	 1.49766E+03
 1.08741E+02	 1.50370E+03
 1.11661E+02	 1.50638E+03
 1.14579E+02	 1.51832E+03
 1.17497E+02	 1.51722E+03
 1.20413E+02	 1.52620E+03
 1.23328E+02	 1.53236E+03
 1.26243E+02	 1.53888E+03
 1.29156E+02	 1.54182E+03
 1.32068E+02	 1.55110E+03
 1.34980E+02	 1.55548E+03
 1.37890E+02	 1.56714E+03
 1.40799E+02	 1.56950E+03
 1.43708E+02	 1.57552E+03
 1.46615E+02	 1.58448E+03
 1.49521E+02	 1.58628E+03
 1.52427E+02	 1.59836E+03
 1.55331E+02	 1.60060E+03
 1.58234E+02	 1.61232E+03
 1.61137E+02	 1.61580E+03
 1.64038E+02	 1.61880E+03
 1.66938E+02	 1.62620E+03
 1.69837E+02	 1.63506E+03
 1.72736E+02	 1.63398E+03
 1.75633E+02	 1.64590E+03
 1.78529E+02	 1.64572E+03
 1.81425E+02	 1.64592E+03
 1.84319E+02	 1.64910E+03
 1.87212E+02	 1.65762E+03
 1.90105E+02	 1.65910E+03
 1.92996E+02	 1.65410E+03
 1.95886E+02	 1.65854E+03
 1.98775E+02	 1.66404E+03
 2.01664E+02	 1.66546E+03
 2.04551E+02	 1.65696E+03
 2.07437E+02	 1.66636E+03
 2.10323E+02	 1.66650E+03
 2.13207E+02	 1.66576E+03
 2.16090E+02	 1.66542E+03
 2.18973E+02	 1.66124E+03
 2.21854E+02	 1.66572E+03
 2.24735E+02	 1.66304E+03
 2.27614E+02	 1.66152E+03
 2.30492E+02	 1.65862E+03
 2.33370E+02	 1.65716E+03
 2.36246E+02	 1.65872E+03
 2.39122E+02	 1.65992E+03
 2.41996E+02	 1.65736E+03
 2.44870E+02	 1.65804E+03
 2.47742E+02	 1.65688E+03
 2.50614E+02	 1.65266E+03
 2.53484E+02	 1.65670E+03
 2.56354E+02	 1.65250E+03
 2.59222E+02	 1.65336E+03
 2.62090E+02	 1.65692E+03
 2.64956E+02	 1.65088E+03
 2.67822E+02	 1.64888E+03
 2.70687E+02	 1.65034E+03
 2.73550E+02	 1.64634E+03
 2.76413E+02	 1.65044E+03
 2.79275E+02	 1.64930E+03
 2.82135E+02	 1.64172E+03
 2.84995E+02	 1.63772E+03
 2.87854E+02	 1.64154E+03
 2.90711E+02	 1.64434E+03
 2.93568E+02	 1.64288E+03
