//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 300 2,5dpa anneal.wip
GraphName = REFEL Si 300 2,5dpa 1000--Spectrum--053--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5438.10000002328
PositionY = 9592.60000002328
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 300 2,5dpa 1000--Spectrum--053--Spec.Data 1
 2.65845E+01	 1.34618E+03
 2.95325E+01	 1.34776E+03
 3.24795E+01	 1.34638E+03
 3.54254E+01	 1.34560E+03
 3.83703E+01	 1.34618E+03
 4.13142E+01	 1.34708E+03
 4.42570E+01	 1.34644E+03
 4.71989E+01	 1.34696E+03
 5.01397E+01	 1.34724E+03
 5.30795E+01	 1.34724E+03
 5.60182E+01	 1.34722E+03
 5.89559E+01	 1.34818E+03
 6.18927E+01	 1.35126E+03
 6.48283E+01	 1.36026E+03
 6.77630E+01	 1.36866E+03
 7.06967E+01	 1.37768E+03
 7.36293E+01	 1.38558E+03
 7.65609E+01	 1.38784E+03
 7.94915E+01	 1.38792E+03
 8.24211E+01	 1.39128E+03
 8.53496E+01	 1.39438E+03
 8.82771E+01	 1.39178E+03
 9.12037E+01	 1.39204E+03
 9.41292E+01	 1.39280E+03
 9.70536E+01	 1.39348E+03
 9.99771E+01	 1.39412E+03
 1.02900E+02	 1.39486E+03
 1.05821E+02	 1.39346E+03
 1.08741E+02	 1.39596E+03
 1.11661E+02	 1.39690E+03
 1.14579E+02	 1.39606E+03
 1.17497E+02	 1.39612E+03
 1.20413E+02	 1.39696E+03
 1.23328E+02	 1.39764E+03
 1.26243E+02	 1.39884E+03
 1.29156E+02	 1.40030E+03
 1.32068E+02	 1.39976E+03
 1.34980E+02	 1.39898E+03
 1.37890E+02	 1.39958E+03
 1.40799E+02	 1.40156E+03
 1.43708E+02	 1.40030E+03
 1.46615E+02	 1.40336E+03
 1.49521E+02	 1.40416E+03
 1.52427E+02	 1.40348E+03
