//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 300 2,5dpa anneal.wip
GraphName = REFEL Si 300 2,5dpa 300--Spectrum--037--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5581.20000002328
PositionY = 9365.30000002328
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 300 2,5dpa 300--Spectrum--037--Spec.Data 1
 2.65845E+01	 1.34602E+03
 2.95325E+01	 1.34774E+03
 3.24795E+01	 1.34780E+03
 3.54254E+01	 1.34782E+03
 3.83703E+01	 1.34672E+03
 4.13142E+01	 1.34718E+03
 4.42570E+01	 1.34656E+03
 4.71989E+01	 1.34676E+03
 5.01397E+01	 1.34768E+03
 5.30795E+01	 1.34676E+03
 5.60182E+01	 1.34684E+03
 5.89559E+01	 1.34690E+03
 6.18927E+01	 1.35008E+03
 6.48283E+01	 1.35328E+03
 6.77630E+01	 1.35838E+03
 7.06967E+01	 1.36282E+03
 7.36293E+01	 1.36532E+03
 7.65609E+01	 1.36966E+03
 7.94915E+01	 1.37016E+03
 8.24211E+01	 1.37128E+03
 8.53496E+01	 1.36936E+03
 8.82771E+01	 1.36936E+03
 9.12037E+01	 1.36984E+03
 9.41292E+01	 1.37090E+03
 9.70536E+01	 1.37192E+03
 9.99771E+01	 1.37376E+03
 1.02900E+02	 1.37088E+03
 1.05821E+02	 1.37208E+03
 1.08741E+02	 1.37276E+03
 1.11661E+02	 1.37340E+03
 1.14579E+02	 1.37346E+03
 1.17497E+02	 1.37540E+03
 1.20413E+02	 1.37630E+03
 1.23328E+02	 1.37540E+03
 1.26243E+02	 1.37728E+03
 1.29156E+02	 1.37788E+03
 1.32068E+02	 1.37850E+03
 1.34980E+02	 1.37840E+03
 1.37890E+02	 1.38014E+03
 1.40799E+02	 1.38108E+03
 1.43708E+02	 1.38324E+03
 1.46615E+02	 1.38244E+03
 1.49521E+02	 1.38384E+03
 1.52427E+02	 1.38662E+03
 1.55331E+02	 1.38490E+03
 1.58234E+02	 1.38536E+03
 1.61137E+02	 1.38596E+03
 1.64038E+02	 1.38740E+03
 1.66938E+02	 1.38820E+03
 1.69837E+02	 1.38764E+03
 1.72736E+02	 1.38818E+03
 1.75633E+02	 1.38828E+03
 1.78529E+02	 1.39066E+03
 1.81425E+02	 1.38888E+03
 1.84319E+02	 1.39150E+03
 1.87212E+02	 1.39278E+03
 1.90105E+02	 1.39120E+03
 1.92996E+02	 1.39264E+03
 1.95886E+02	 1.39180E+03
 1.98775E+02	 1.39272E+03
 2.01664E+02	 1.39358E+03
 2.04551E+02	 1.39174E+03
 2.07437E+02	 1.39110E+03
 2.10323E+02	 1.39102E+03
 2.13207E+02	 1.39136E+03
 2.16090E+02	 1.38958E+03
 2.18973E+02	 1.39118E+03
 2.21854E+02	 1.39182E+03
 2.24735E+02	 1.38950E+03
 2.27614E+02	 1.39170E+03
 2.30492E+02	 1.38982E+03
 2.33370E+02	 1.39002E+03
 2.36246E+02	 1.39026E+03
 2.39122E+02	 1.39086E+03
 2.41996E+02	 1.38974E+03
 2.44870E+02	 1.39018E+03
 2.47742E+02	 1.38964E+03
 2.50614E+02	 1.38844E+03
 2.53484E+02	 1.38876E+03
 2.56354E+02	 1.38936E+03
 2.59222E+02	 1.39030E+03
 2.62090E+02	 1.38908E+03
 2.64956E+02	 1.38862E+03
 2.67822E+02	 1.38750E+03
 2.70687E+02	 1.38894E+03
 2.73550E+02	 1.38862E+03
 2.76413E+02	 1.38826E+03
 2.79275E+02	 1.38740E+03
 2.82135E+02	 1.38680E+03
 2.84995E+02	 1.38900E+03
 2.87854E+02	 1.38600E+03
 2.90711E+02	 1.38750E+03
 2.93568E+02	 1.38646E+03
 2.96424E+02	 1.38658E+03
