//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 300 2,5dpa anneal.wip
GraphName = REFEL Si 300 2,5dpa 760--Spectrum--048--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5444.30000002328
PositionY = 9598.50000002328
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 300 2,5dpa 760--Spectrum--048--Spec.Data 1
 2.65845E+01	 1.34708E+03
 2.95325E+01	 1.34742E+03
 3.24795E+01	 1.34686E+03
 3.54254E+01	 1.34600E+03
 3.83703E+01	 1.34758E+03
 4.13142E+01	 1.34704E+03
 4.42570E+01	 1.34572E+03
 4.71989E+01	 1.34780E+03
 5.01397E+01	 1.34618E+03
 5.30795E+01	 1.34680E+03
 5.60182E+01	 1.34710E+03
 5.89559E+01	 1.34770E+03
 6.18927E+01	 1.34872E+03
 6.48283E+01	 1.35454E+03
 6.77630E+01	 1.36132E+03
 7.06967E+01	 1.36878E+03
 7.36293E+01	 1.37068E+03
 7.65609E+01	 1.37400E+03
 7.94915E+01	 1.37336E+03
 8.24211E+01	 1.37238E+03
 8.53496E+01	 1.37480E+03
 8.82771E+01	 1.37338E+03
 9.12037E+01	 1.37584E+03
 9.41292E+01	 1.37564E+03
 9.70536E+01	 1.37694E+03
 9.99771E+01	 1.37698E+03
 1.02900E+02	 1.37790E+03
 1.05821E+02	 1.37576E+03
 1.08741E+02	 1.37736E+03
 1.11661E+02	 1.37850E+03
 1.14579E+02	 1.37874E+03
 1.17497E+02	 1.38126E+03
 1.20413E+02	 1.38212E+03
 1.23328E+02	 1.38030E+03
 1.26243E+02	 1.38166E+03
 1.29156E+02	 1.38166E+03
 1.32068E+02	 1.38376E+03
 1.34980E+02	 1.38300E+03
 1.37890E+02	 1.38308E+03
 1.40799E+02	 1.38468E+03
 1.43708E+02	 1.38562E+03
 1.46615E+02	 1.38496E+03
