//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 300 2,5dpa anneal.wip
GraphName = REFEL Si 300 2,5dpa RT After Glass--Spectrum--056--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5464.00000002328
PositionY = 9564.40000002328
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 300 2,5dpa RT After Glass--Spectrum--056--Spec.Data 1
 2.65845E+01	 1.34634E+03
 2.95325E+01	 1.34664E+03
 3.24795E+01	 1.34672E+03
 3.54254E+01	 1.34596E+03
 3.83703E+01	 1.34760E+03
 4.13142E+01	 1.34750E+03
 4.42570E+01	 1.34676E+03
 4.71989E+01	 1.34690E+03
 5.01397E+01	 1.34686E+03
 5.30795E+01	 1.34666E+03
 5.60182E+01	 1.34686E+03
 5.89559E+01	 1.34840E+03
 6.18927E+01	 1.35112E+03
 6.48283E+01	 1.35534E+03
 6.77630E+01	 1.36274E+03
 7.06967E+01	 1.36988E+03
 7.36293E+01	 1.37586E+03
 7.65609E+01	 1.38002E+03
 7.94915E+01	 1.38012E+03
 8.24211E+01	 1.38318E+03
 8.53496E+01	 1.38224E+03
 8.82771E+01	 1.38146E+03
 9.12037E+01	 1.38482E+03
 9.41292E+01	 1.38486E+03
 9.70536E+01	 1.38658E+03
 9.99771E+01	 1.38578E+03
 1.02900E+02	 1.38810E+03
 1.05821E+02	 1.38982E+03
 1.08741E+02	 1.38924E+03
 1.11661E+02	 1.38858E+03
 1.14579E+02	 1.39014E+03
 1.17497E+02	 1.38870E+03
 1.20413E+02	 1.38918E+03
 1.23328E+02	 1.39010E+03
 1.26243E+02	 1.39550E+03
 1.29156E+02	 1.39474E+03
 1.32068E+02	 1.39734E+03
 1.34980E+02	 1.39746E+03
 1.37890E+02	 1.39892E+03
 1.40799E+02	 1.40176E+03
 1.43708E+02	 1.40266E+03
 1.46615E+02	 1.40376E+03
 1.49521E+02	 1.40762E+03
 1.52427E+02	 1.40620E+03
 1.55331E+02	 1.40946E+03
 1.58234E+02	 1.40658E+03
 1.61137E+02	 1.40736E+03
 1.64038E+02	 1.40946E+03
 1.66938E+02	 1.40844E+03
 1.69837E+02	 1.40964E+03
 1.72736E+02	 1.41050E+03
 1.75633E+02	 1.41274E+03
 1.78529E+02	 1.41402E+03
 1.81425E+02	 1.41052E+03
 1.84319E+02	 1.41042E+03
 1.87212E+02	 1.41524E+03
 1.90105E+02	 1.41422E+03
 1.92996E+02	 1.41412E+03
 1.95886E+02	 1.41702E+03
 1.98775E+02	 1.41308E+03
 2.01664E+02	 1.41606E+03
 2.04551E+02	 1.41550E+03
 2.07437E+02	 1.41650E+03
 2.10323E+02	 1.41468E+03
 2.13207E+02	 1.41608E+03
 2.16090E+02	 1.41608E+03
 2.18973E+02	 1.41522E+03
 2.21854E+02	 1.41648E+03
 2.24735E+02	 1.41380E+03
 2.27614E+02	 1.41640E+03
 2.30492E+02	 1.41554E+03
 2.33370E+02	 1.41500E+03
 2.36246E+02	 1.41346E+03
 2.39122E+02	 1.41256E+03
 2.41996E+02	 1.41336E+03
 2.44870E+02	 1.41258E+03
 2.47742E+02	 1.41140E+03
 2.50614E+02	 1.41320E+03
 2.53484E+02	 1.41080E+03
 2.56354E+02	 1.41096E+03
 2.59222E+02	 1.41300E+03
 2.62090E+02	 1.41346E+03
 2.64956E+02	 1.41262E+03
 2.67822E+02	 1.41080E+03
 2.70687E+02	 1.40928E+03
 2.73550E+02	 1.41160E+03
 2.76413E+02	 1.40828E+03
 2.79275E+02	 1.40860E+03
 2.82135E+02	 1.40704E+03
 2.84995E+02	 1.40738E+03
 2.87854E+02	 1.40536E+03
 2.90711E+02	 1.40424E+03
 2.93568E+02	 1.40312E+03
 2.96424E+02	 1.40444E+03
 2.99279E+02	 1.40454E+03
 3.02133E+02	 1.40424E+03
 3.04986E+02	 1.40432E+03
 3.07838E+02	 1.40524E+03
 3.10689E+02	 1.40396E+03
 3.13538E+02	 1.40094E+03
 3.16387E+02	 1.40382E+03
 3.19236E+02	 1.40192E+03
 3.22083E+02	 1.40070E+03
 3.24929E+02	 1.40184E+03
 3.27774E+02	 1.39972E+03
 3.30618E+02	 1.40254E+03
 3.33461E+02	 1.40018E+03
 3.36303E+02	 1.40058E+03
 3.39145E+02	 1.40174E+03
 3.41985E+02	 1.39986E+03
 3.44824E+02	 1.40222E+03
 3.47663E+02	 1.40052E+03
 3.50500E+02	 1.40130E+03
 3.53336E+02	 1.40124E+03
 3.56172E+02	 1.40242E+03
 3.59006E+02	 1.40260E+03
 3.61840E+02	 1.40130E+03
 3.64672E+02	 1.40068E+03
 3.67504E+02	 1.40324E+03
 3.70335E+02	 1.40298E+03
 3.73164E+02	 1.40262E+03
 3.75993E+02	 1.39992E+03
 3.78821E+02	 1.40346E+03
 3.81648E+02	 1.40162E+03
 3.84473E+02	 1.40224E+03
 3.87298E+02	 1.40002E+03
 3.90122E+02	 1.40216E+03
 3.92945E+02	 1.40248E+03
 3.95767E+02	 1.40280E+03
 3.98588E+02	 1.40472E+03
 4.01408E+02	 1.40164E+03
 4.04227E+02	 1.39988E+03
 4.07046E+02	 1.40266E+03
 4.09863E+02	 1.40456E+03
 4.12679E+02	 1.40486E+03
 4.15494E+02	 1.40176E+03
 4.18309E+02	 1.40278E+03
 4.21122E+02	 1.40464E+03
 4.23935E+02	 1.40136E+03
 4.26746E+02	 1.40224E+03
 4.29557E+02	 1.40472E+03
 4.32366E+02	 1.40466E+03
 4.35175E+02	 1.40218E+03
 4.37983E+02	 1.40318E+03
 4.40790E+02	 1.40336E+03
 4.43595E+02	 1.40346E+03
 4.46400E+02	 1.40512E+03
 4.49204E+02	 1.40462E+03
 4.52007E+02	 1.40676E+03
 4.54809E+02	 1.40468E+03
 4.57610E+02	 1.40798E+03
 4.60410E+02	 1.40488E+03
 4.63210E+02	 1.40630E+03
 4.66008E+02	 1.40482E+03
 4.68805E+02	 1.40536E+03
 4.71602E+02	 1.40532E+03
 4.74397E+02	 1.40610E+03
 4.77192E+02	 1.40718E+03
 4.79985E+02	 1.40546E+03
 4.82778E+02	 1.40676E+03
 4.85569E+02	 1.40920E+03
 4.88360E+02	 1.40832E+03
 4.91150E+02	 1.40728E+03
 4.93939E+02	 1.41120E+03
 4.96727E+02	 1.41050E+03
 4.99514E+02	 1.41174E+03
 5.02300E+02	 1.41504E+03
 5.05085E+02	 1.41526E+03
 5.07869E+02	 1.41686E+03
 5.10652E+02	 1.41864E+03
 5.13435E+02	 1.42210E+03
 5.16216E+02	 1.42788E+03
 5.18996E+02	 1.42804E+03
 5.21776E+02	 1.43176E+03
 5.24554E+02	 1.43214E+03
 5.27332E+02	 1.43142E+03
 5.30109E+02	 1.42848E+03
 5.32885E+02	 1.42822E+03
 5.35659E+02	 1.42640E+03
 5.38433E+02	 1.42718E+03
 5.41206E+02	 1.42440E+03
 5.43978E+02	 1.42030E+03
 5.46750E+02	 1.41934E+03
 5.49520E+02	 1.42152E+03
 5.52289E+02	 1.41816E+03
 5.55057E+02	 1.41906E+03
 5.57825E+02	 1.41970E+03
 5.60591E+02	 1.42040E+03
 5.63357E+02	 1.41652E+03
 5.66122E+02	 1.42028E+03
 5.68885E+02	 1.41778E+03
 5.71648E+02	 1.41886E+03
 5.74410E+02	 1.41720E+03
 5.77171E+02	 1.41488E+03
 5.79931E+02	 1.41444E+03
 5.82690E+02	 1.40986E+03
 5.85448E+02	 1.41134E+03
 5.88206E+02	 1.40626E+03
 5.90962E+02	 1.40696E+03
 5.93717E+02	 1.40088E+03
 5.96472E+02	 1.40226E+03
 5.99225E+02	 1.40188E+03
 6.01978E+02	 1.39926E+03
 6.04730E+02	 1.39768E+03
 6.07481E+02	 1.39614E+03
 6.10231E+02	 1.39474E+03
 6.12980E+02	 1.39440E+03
 6.15728E+02	 1.39464E+03
 6.18475E+02	 1.39456E+03
 6.21221E+02	 1.39330E+03
 6.23967E+02	 1.39188E+03
 6.26711E+02	 1.39286E+03
 6.29454E+02	 1.39224E+03
 6.32197E+02	 1.39180E+03
 6.34939E+02	 1.39222E+03
 6.37680E+02	 1.39150E+03
 6.40419E+02	 1.39102E+03
 6.43158E+02	 1.39002E+03
 6.45896E+02	 1.39018E+03
 6.48634E+02	 1.39064E+03
 6.51370E+02	 1.39144E+03
 6.54105E+02	 1.39238E+03
 6.56840E+02	 1.39174E+03
 6.59573E+02	 1.39370E+03
 6.62306E+02	 1.39588E+03
 6.65037E+02	 1.39510E+03
 6.67768E+02	 1.39692E+03
 6.70498E+02	 1.39546E+03
 6.73227E+02	 1.39662E+03
 6.75955E+02	 1.39458E+03
 6.78682E+02	 1.39564E+03
 6.81409E+02	 1.39264E+03
 6.84134E+02	 1.39278E+03
 6.86858E+02	 1.39356E+03
 6.89582E+02	 1.39308E+03
