//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 300 2,5dpa anneal.wip
GraphName = REFEL Si 300 2,5dpa RT After  No Glass--Spectrum--058--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 4897.70000002328
PositionY = 9097.90000002328
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 300 2,5dpa RT After  No Glass--Spectrum--058--Spec.Data 1
 2.65845E+01	 1.34644E+03
 2.95325E+01	 1.34730E+03
 3.24795E+01	 1.34720E+03
 3.54254E+01	 1.34642E+03
 3.83703E+01	 1.34784E+03
 4.13142E+01	 1.34684E+03
 4.42570E+01	 1.34716E+03
 4.71989E+01	 1.34686E+03
 5.01397E+01	 1.34706E+03
 5.30795E+01	 1.34672E+03
 5.60182E+01	 1.34748E+03
 5.89559E+01	 1.35244E+03
 6.18927E+01	 1.36216E+03
 6.48283E+01	 1.38822E+03
 6.77630E+01	 1.42210E+03
 7.06967E+01	 1.46236E+03
 7.36293E+01	 1.49136E+03
 7.65609E+01	 1.50654E+03
 7.94915E+01	 1.51560E+03
 8.24211E+01	 1.51970E+03
 8.53496E+01	 1.52488E+03
 8.82771E+01	 1.52782E+03
 9.12037E+01	 1.53452E+03
 9.41292E+01	 1.54032E+03
 9.70536E+01	 1.54256E+03
 9.99771E+01	 1.54458E+03
 1.02900E+02	 1.55118E+03
 1.05821E+02	 1.55674E+03
 1.08741E+02	 1.55762E+03
 1.11661E+02	 1.56454E+03
 1.14579E+02	 1.57072E+03
 1.17497E+02	 1.57012E+03
 1.20413E+02	 1.58288E+03
 1.23328E+02	 1.58924E+03
 1.26243E+02	 1.59312E+03
 1.29156E+02	 1.60674E+03
 1.32068E+02	 1.60550E+03
 1.34980E+02	 1.62086E+03
 1.37890E+02	 1.62152E+03
 1.40799E+02	 1.62712E+03
 1.43708E+02	 1.63796E+03
 1.46615E+02	 1.64590E+03
 1.49521E+02	 1.65454E+03
 1.52427E+02	 1.66058E+03
 1.55331E+02	 1.66958E+03
 1.58234E+02	 1.67484E+03
 1.61137E+02	 1.67496E+03
 1.64038E+02	 1.68642E+03
 1.66938E+02	 1.69048E+03
 1.69837E+02	 1.69104E+03
 1.72736E+02	 1.69414E+03
 1.75633E+02	 1.69620E+03
 1.78529E+02	 1.70236E+03
 1.81425E+02	 1.71046E+03
 1.84319E+02	 1.70666E+03
 1.87212E+02	 1.71974E+03
 1.90105E+02	 1.72380E+03
 1.92996E+02	 1.72786E+03
 1.95886E+02	 1.73000E+03
 1.98775E+02	 1.72924E+03
 2.01664E+02	 1.73348E+03
 2.04551E+02	 1.73396E+03
 2.07437E+02	 1.73682E+03
 2.10323E+02	 1.73714E+03
 2.13207E+02	 1.73012E+03
 2.16090E+02	 1.73678E+03
 2.18973E+02	 1.73882E+03
 2.21854E+02	 1.73730E+03
 2.24735E+02	 1.72776E+03
 2.27614E+02	 1.73050E+03
 2.30492E+02	 1.72776E+03
 2.33370E+02	 1.71906E+03
 2.36246E+02	 1.71790E+03
 2.39122E+02	 1.71834E+03
 2.41996E+02	 1.71428E+03
 2.44870E+02	 1.71616E+03
 2.47742E+02	 1.71100E+03
 2.50614E+02	 1.71082E+03
 2.53484E+02	 1.71780E+03
 2.56354E+02	 1.70790E+03
 2.59222E+02	 1.70886E+03
 2.62090E+02	 1.70882E+03
 2.64956E+02	 1.71076E+03
 2.67822E+02	 1.70508E+03
 2.70687E+02	 1.69822E+03
 2.73550E+02	 1.69304E+03
