#Wave,#Intensity
1998.90625,13701.06152
1997.375,13761.86523
1995.841797,13601.625
1994.306641,13726.6416
1992.773438,13605.42578
1991.238281,13641.5957
1989.705078,13802.34766
1988.169922,13670.28711
1986.634766,13823.18262
1985.099609,13733.19629
1983.5625,13792.64258
1982.027344,13604.67676
1980.490234,13561.45508
1978.955078,13771.75684
1977.417969,13607.23242
1975.878906,13651.09277
1974.341797,13567.48242
1972.804688,13636.19531
1971.265625,13628.75
1969.726562,13520.33984
1968.1875,13666.66895
1966.648438,13477.55176
1965.109375,13463.93262
1963.570312,13529.47363
1962.029297,13548.43457
1960.488281,13531.70313
1958.947266,13629.76172
1957.40625,13650.23926
1955.865234,13445.88574
1954.324219,13463.29004
1952.78125,13603.125
1951.240234,13645.28125
1949.697266,13676.5752
1948.154297,13552.96387
1946.609375,13627.62305
1945.066406,13497.87793
1943.523438,13707.18848
1941.978516,13503.19141
1940.433594,13492.69336
1938.888672,13639.99414
1937.34375,13815.07324
1935.798828,13683.89844
1934.251953,13744.48731
1932.705078,13652.02148
1931.160156,13791.4082
1929.613281,13913.74023
1928.066406,13829.01856
1926.517578,14195.31934
1924.970703,14152.26563
1923.421875,14172.52637
1921.873047,14350.21777
1920.324219,14302.52734
1918.775391,14151.48047
1917.226562,14142.41211
1915.677734,14218.17188
1914.126953,14355.57813
1912.576172,14394.26172
1911.025391,14261.84277
1909.474609,14311.31543
1907.923828,14274.48926
1906.373047,14311.61426
1904.820312,14256.31934
1903.267578,14236.46191
1901.716797,14310.51563
1900.162109,14367.6084
1898.609375,14340.04297
1897.056641,14455.56641
1895.501953,14209.57324
1893.949219,14294.31738
1892.394531,14319.0625
1890.839844,14316.12695
1889.285156,14485.32422
1887.728516,14247.25586
1886.173828,14436.36816
1884.617188,14328.96191
1883.060547,14316.80957
1881.503906,14442.83984
1879.947266,14453.69238
1878.390625,14392.4082
1876.832031,14364.90527
1875.273438,14437.12695
1873.716797,14334.46973
1872.158203,14279.3916
1870.597656,14334.71973
1869.039062,14379.29395
1867.480469,14278.2627
1865.919922,14391.77734
1864.359375,14375.03516
1862.798828,14335.32617
1861.238281,14269.60254
1859.677734,14435.07324
1858.115234,14383.12891
1856.554688,14312.8418
1854.992188,14268.59277
1853.429688,14196.82617
1851.867188,14475.31055
1850.302734,14183.34863
1848.740234,14290.50195
1847.175781,14153.06543
1845.611328,14113.48242
1844.048828,14251.1377
1842.482422,14232.93359
1840.917969,14266.66016
1839.353516,14269.83496
1837.787109,14138.67285
1836.220703,14091.50586
1834.654297,14184.73926
1833.087891,14403.03223
1831.521484,14256.69434
1829.955078,14208.01367
1828.386719,14374.32715
1826.818359,14112.23438
1825.25,14191.62793
1823.681641,14152.13867
1822.113281,14229.9668
1820.542969,14152.4082
1818.974609,14096.19922
1817.404297,14199.86914
1815.833984,14338.50488
1814.263672,14302.07324
1812.693359,14209.36035
1811.121094,14198.8291
1809.550781,14174.61328
1807.978516,14275.09375
1806.40625,14232.62793
1804.833984,14027.54395
1803.261719,13988.18457
1801.6875,14158.50488
1800.115234,14026.47363
1798.541016,13971.94824
1796.966797,14149.75684
1795.392578,14049.68555
1793.818359,14096.87598
1792.242188,13961.9541
1790.667969,14189.67969
1789.091797,14311.13379
1787.515625,13974.55371
1785.939453,14149.06738
1784.363281,13859.65039
1782.785156,14190.2168
1781.208984,13949.39648
1779.630859,14208.60449
1778.052734,14154.17676
1776.474609,14104.31445
1774.896484,14059.01367
1773.318359,14022.8125
1771.738281,14033.54004
1770.158203,14191.0293
1768.578125,14083.72168
1766.998047,13943.18359
1765.417969,14167.12598
1763.837891,14052.32813
1762.255859,14341.14746
1760.673828,14323.07617
1759.091797,14040.60645
1757.509766,14163.08496
1755.927734,14196.40723
1754.345703,14059.0918
1752.761719,14178.46875
1751.177734,14148.37305
1749.59375,14282.77148
1748.009766,14243.61231
1746.425781,14355.30762
1744.841797,14231.69629
1743.255859,14183.52344
1741.669922,14281.59277
1740.083984,14346.46289
1738.498047,14370.62109
1736.912109,14411.34082
1735.326172,14476.1416
1733.738281,14507.78516
