Peak,Model,Assignment,Region (cm⁻¹),Center (cm⁻¹),Center 1σ (cm⁻¹),FWHM (cm⁻¹),FWHM 1σ (cm⁻¹),Area,Area 1σ,Relative Intensity,amp,amp 1σ,wid,wid 1σ,q,q 1σ
1,voigt,Si-Si TA 180-209,170-1700,207.22589266671858,1.2629618892632493,58.408616186148144,3.1344811908900168,12.122635741217548,1.177125403855009,0.1842654055992063,0.1842654055992063,0.01057085886981505,35.66746272860598,1.9140838861517873,,
2,voigt,Si-Si LA+LO ~260,170-1700,266.2816639430643,2.6680513355844737,88.3496259040431,5.604908547200191,17.854299432188824,1.6351933212279925,0.16480548667433376,0.16480548667433376,0.007141690041503571,53.95106398302347,3.4226605551698284,,
3,voigt,unassigned — verify against report,170-1700,433.8142885862133,1.0757654001056904,33.72266014314736,3.6651084456036043,2.69994901911339,0.35050211040207774,0.05966947642047089,0.05966947642047089,0.0046426176381361255,20.59288170655898,2.2381136107585786,,
4,gauss,Si-Si TO ~500-540,170-1700,530.3589678782935,2.9451605742124,71.94627844377256,4.203547690372872,29.42013510589117,4.814166730140767,0.3840774775314928,0.3841496321065876,0.04101510733460406,30.553031443762766,1.7850975412960859,,
5,voigt,Si-C distorted bands 580-600,170-1700,590.5727049602942,4.741041856195983,80.7830860796475,18.739169820758875,24.177370192517678,9.756805042197138,0.22552638442285725,0.22552638442285722,0.04138031725845218,49.330525185955615,11.44315145190225,,
6,voigt,unassigned — verify against report,170-1700,650.836783580286,2.5291769086847684,63.00453060393751,6.158930205109062,16.497484339633,4.006240741967049,0.1958450738114685,0.1958450738114685,0.03085309024290479,38.47397685107616,3.760976169272169,,
7,gauss,Si-C highly disordered 760-770 (broad),170-1700,767.0467958009307,1.279336056674548,111.83399128937573,2.736833697813254,94.24086267203242,3.9391957630777195,0.7916366978532176,0.7916432644841641,0.015043486725499579,47.49192767512134,1.1622361550686076,,
8,voigt,Si-C highly disordered 840-870,170-1700,840.3527210527213,4.970496406268504,52.18049226418243,4.246387013945275,26.223097315656005,15.584726032498454,0.3740750082133725,0.3740750082133725,0.19979787857156714,31.864233130632158,2.5930737697465713,,
9,gauss,Si-C highly disordered 840-870 (broad),170-1700,877.7701949032597,3.195242839488164,55.91517324133183,16.78571356789026,35.71221867528785,17.722733108377174,0.5999848696450085,0.5999999999999999,0.1185336168370261,23.745189927523285,7.12829691173696,,
10,voigt,Si-C slightly disordered 915-950,170-1700,915.1921709486056,7.085446165039826,49.41852887132693,5.78411656202481,39.89268429802867,6.019384425021764,0.5999999999999999,0.5999999999999999,0.07153640560237161,30.17762877660176,3.5320946699579925,,
11,voigt,Si-C slightly disordered 915-950,170-1700,934.647346324376,1.3793523212345669,31.816648925610664,3.8590836439241554,17.758559656705593,10.278423449938643,0.41281597761768163,0.41281597761768163,0.1926648433087494,19.428968083864433,2.3565653667865885,,
12,gauss,C-C sp3 ~1070-1090,170-1700,1072.4175843809462,1.953011008836877,101.33460701821329,7.820651004495726,6.587455156536562,0.9379080635756865,0.061057643033772556,0.061069445565331816,0.00489558249553749,43.033211745461735,3.3211529658852736,,
13,bwf,unassigned — verify against report,170-1700,1319.9999999953047,112.51120815139676,204.06444257659444,160.9537826508764,11.668950051850656,44.89881334715279,0.036489008647252505,0.03505066953471552,0.14069010877447732,99.99997463571151,86.72482898654022,4.935161727436533,12.449402104272712
14,lorentz,C-C D-band 1380-1420 (mixed sp2/sp3),170-1700,1392.1679888914862,16.698390029886397,199.99999999672767,38.91608595730022,62.83185307076783,55.25263349999316,0.19998729997714215,0.19999999999999998,0.1378199351423589,99.99999999836383,19.458042977685803,,
15,bwf,C-C G-band 1560-1600 (sp2),170-1700,1594.282896524898,2.0185677051188002,106.06400498620391,3.543632597884763,46.423922037487735,3.453219482276865,0.24121054519235932,0.23794297797684963,0.006595903402910274,52.671277934105895,1.793434831426437,-8.529857329088752,2.341186986170756
