Peak,Model,Center (cm⁻¹),FWHM (cm⁻¹),Area,Relative Intensity
1,voigt,136.00000000000003,1.63758820579031,15.111856989970123,0.2
2,voigt,260.7831962435423,163.75882027432056,29.760395553577055,0.19999999999999998
3,voigt,385.00000000000006,163.75882027432056,39.417681367688466,0.19999999999999998
4,gauss,493.19099985134903,129.19399661459144,46.32906791259429,0.33687874573883014
5,voigt,535.0000000000001,163.75882027432056,82.79502220314475,0.39999999999999997
6,gauss,719.9999808775275,118.80186824447796,37.64136312190092,0.297645821717482
7,gauss,811.722702595354,101.73079620796861,37.14606781498189,0.34302115098972324
8,voigt,845.3358627557732,1.637588202743292,0.50330615859621,0.22533386214247153
9,gauss,876.8370202395714,32.28224982689454,3.3024280319339696,0.09608888274839562
10,voigt,940.8102790060494,1.6508602224710867,0.4023881707979849,0.1795301242486055
11,voigt,915.5836657348506,163.75882009986742,79.52799510058249,0.38026181122673613
12,gauss,1038.9182511645831,147.775424411176,21.36495297204136,0.13581957869934957
13,gauss,1205.033362884278,235.47999896254117,94.3490665437682,0.37639820470055724
14,lorentz,1364.1588875153584,198.58204646884323,62.38638983213448,0.18685639910539018
