Peak,Model,Center (cm⁻¹),FWHM (cm⁻¹),Area,Relative Intensity
1,voigt,407.12011096273375,99.99999999999999,0.03827416603732278,0.03827416603732278
2,voigt,515.0000000000259,78.42580856736745,0.054914422490220514,0.054914422490220514
3,voigt,624.9999999999999,99.99999999999999,0.025604052192760133,0.025604052192760133
4,voigt,685.0000000000001,99.99999999999999,0.03711869300965814,0.03711869300965814
5,voigt,782.6540058382145,11.610794690831996,0.007817288914583992,0.007817288914583992
6,voigt,755.0000000000001,34.24011623226632,0.01614209378056391,0.01614209378056391
7,voigt,825.2414692058243,71.47056635198275,0.0355865859760713,0.0355865859760713
8,voigt,921.243797641311,99.99999999982725,0.035830026529675596,0.035830026529675596
9,voigt,948.3754305741908,1.0000000006861216,0.010715581859929699,0.0107155818599297
10,voigt,986.9849876338885,20.5940681223082,0.00871158781858853,0.00871158781858853
11,lorentz,1335.0000000055343,60.69460543807337,1.315486095699042,0.013776125858719646
12,lorentz,1434.999999433488,199.9999995473817,37.48179416719663,0.11929197006892447
13,lorentz,1630.502229605451,3.8252778786334156,4.806985952414647,0.7965710663592044
