Peak,Model,Center (cm⁻¹),FWHM (cm⁻¹),Area,Relative Intensity
1,voigt,136.00000381804998,1.6376769182360311,23.500928508341758,0.1442069757432095
2,voigt,225.83050434437027,163.52433886468322,2.7666392282574067e-27,3.1009282548257236e-29
3,voigt,479.0008048561221,100.16348193754736,25.583510090247927,0.1999999999987959
4,gauss,536.8163847576741,30.87697990690381,2.6572272809867368,0.08084500692831116
5,voigt,535.0004850033254,163.69405715103417,46.84150435050047,0.22793809554209807
6,gauss,683.5415435541407,64.32102630214483,6.2145372184212615,0.09076202866493595
7,gauss,762.432772285282,96.06924382082218,26.12700349244824,0.25548203262709457
8,voigt,842.8825342521973,1.6375882027668158,0.12202883813638214,0.054462512142898066
9,gauss,838.9829348530691,58.67359464934537,7.050652545035873,0.11288821165399537
10,voigt,893.4314199219796,4.144043170262716,0.4562620343868536,0.0797980263413201
11,voigt,892.7810737630434,163.75360048661963,53.77468159566872,0.2498505556042252
12,gauss,1034.6660452147635,41.82687413645264,1.6966910530962385,0.03810588886952694
13,gauss,1249.9999999998174,235.4799999993476,49.07494636520633,0.19578040144537165
14,lorentz,1418.7457157761107,199.99999983601165,62.83185302027741,0.1999999999697851
