Peak,Model,Center (cm⁻¹),FWHM (cm⁻¹),Area,Relative Intensity
1,voigt,421.20945478740856,47.819947930729555,0.09999999999999999,0.09999999999999999
2,voigt,547.6256441057345,99.28070018058911,0.27938943811236117,0.27938943811236117
3,voigt,555.000000002388,43.69481599270241,0.19999999999986373,0.19999999999986373
4,voigt,685.0000000000001,99.99999999999999,0.09999999999999999,0.09999999999999999
5,voigt,779.0925071810633,45.700332172435516,0.6078075291207922,0.6078075291207922
6,voigt,798.0349274665471,5.566423315222578,0.40657010552959,0.40657010552958994
7,voigt,851.5028322065365,21.14255849127213,0.16247553373844412,0.16247553373844412
8,voigt,891.537320406747,49.258487578999585,0.4932672596708337,0.4932672596708337
9,voigt,945.3271088740449,32.389378563774514,0.5683601981299188,0.5683601981299188
10,voigt,955.6721378675534,8.306093116107192,0.1952991795395797,0.1952991795395797
11,lorentz,1335.0000000000002,199.99999999999997,32.8452729847334,0.1045344613385307
12,lorentz,1425.4419071878103,199.99999999999997,62.61467854917334,0.19929221819774492
13,lorentz,1614.2385973564458,199.99999999999997,68.06941323079192,0.2166547992230863
