Peak,Model,Center (cm⁻¹),FWHM (cm⁻¹),Area,Relative Intensity
1,voigt,428.0559404504645,54.56313433108184,0.09999999999999999,0.09999999999999999
2,voigt,543.8161768441079,44.02796417795904,0.26885774055867695,0.26885774055867695
3,voigt,565.9885001853806,77.17026496357612,0.19999999999999998,0.19999999999999998
4,voigt,685.0000000000001,99.99999999999999,0.09861935001455935,0.09861935001455935
5,voigt,774.8741162983412,40.11241137693352,0.5541658034212631,0.5541658034212631
6,voigt,796.16844622826,5.876544451973347,0.46721407814707583,0.46721407814707583
7,voigt,867.0690432126067,46.58776065942949,0.422646290226654,0.422646290226654
8,voigt,924.9999999999999,32.70801811370554,0.5084551005790576,0.5084551005790576
9,voigt,950.8196685539014,14.909005751854913,0.4162124642632013,0.4162124642632013
10,voigt,975.098693864793,5.553683210967115,0.1510537289763163,0.1510537289763163
11,lorentz,1335.0000000000002,199.99999999999997,22.277345493024423,0.07090062281558944
12,lorentz,1418.0154930817816,199.99999999999997,57.549817873099954,0.1831725750797149
13,lorentz,1604.1187002472489,199.99999999999997,55.704296893035014,0.17730815266795633
