Peak,Model,Center (cm⁻¹),FWHM (cm⁻¹),Area,Relative Intensity
1,voigt,418.4063763464185,97.79522462779661,0.09999999999999999,0.09999999999999999
2,voigt,515.0000000240892,99.99981323949038,0.3999999999999349,0.3999999999999349
3,voigt,624.9894716768649,99.99986920342954,0.05589636152378836,0.055896361523788365
4,voigt,685.0000000000229,99.99999999999999,0.09999999999999999,0.09999999999999999
5,voigt,739.4732819128376,90.7404542332199,0.3417550688869133,0.3417550688869133
6,voigt,775.0917480231537,30.380284082969624,0.5957405015947467,0.5957405015947467
7,voigt,848.7236423436171,30.992236502804094,0.22348762889342821,0.22348762889342821
8,voigt,897.2930063953493,43.56230086224006,0.3406706727179946,0.3406706727179946
9,voigt,942.8802213768631,32.404003809922784,0.3770550014901813,0.3770550014901813
10,voigt,995.672018077897,20.202460950664456,0.1308032401210602,0.1308032401210602
11,lorentz,1335.0000000000002,117.49985489142517,40.54543704400932,0.21958404391708747
12,lorentz,1434.9999999999998,199.99999999999997,103.40978922444258,0.3291186488145626
13,lorentz,1613.2848369316862,199.99999999999997,103.3667028291144,0.32902626696603837
