Peak,Model,Center (cm⁻¹),FWHM (cm⁻¹),Area,Relative Intensity
1,voigt,436.7726407526911,80.07741602292165,0.05517330536308158,0.05517330536308158
2,voigt,535.7725082686105,40.98385691912821,0.2835267689197164,0.2835267689197164
3,voigt,573.9462670313502,23.518737392720684,0.07513522052927586,0.07513522052927586
4,voigt,739.7836193483843,56.579689819566745,0.09999999999999999,0.09999999999999999
5,voigt,779.2097829289477,9.813525815432806,0.7095677374777304,0.7095677374777304
6,voigt,759.0370372327769,21.98048080618803,0.41188777191475867,0.4118877719147587
7,voigt,864.1871303435272,56.14294599300918,0.21055746337542908,0.21055746337542908
8,voigt,924.9999997246118,23.93633902370587,0.21446297958276989,0.21446297958276986
9,voigt,946.5079319591898,15.661034980578927,0.4132394340479187,0.4132394340479187
10,voigt,944.5447011610219,1.0199501377005629,6.020090909670286e-33,6.0200909096702855e-33
11,lorentz,1386.84307975215,2.001917277520468,6.732962017409145e-17,1.790612725983921e-17
12,lorentz,1434.9999999999998,199.99999997819717,26.984587180249353,0.0858828834209744
13,lorentz,1634.9999999999998,199.99999999999997,21.356430487531068,0.06797924517998602
