Peak,Model,Center (cm⁻¹),FWHM (cm⁻¹),Area,Relative Intensity
1,voigt,403.79466843334177,82.02674089115125,0.045238695412357435,0.045238695412357435
2,voigt,529.7560502758042,51.59113353744596,0.0729039890822389,0.0729039890822389
3,voigt,624.9999999999999,99.99999999999999,0.005917218011619397,0.005917218011619397
4,voigt,719.6644620307148,46.09163971662051,0.09999999999999999,0.09999999999999999
5,voigt,759.6291587427745,24.21249331115673,0.414441648059945,0.414441648059945
6,voigt,777.7074055621237,13.87937050604183,0.7027113810360365,0.7027113810360365
7,voigt,873.805819761899,43.12785969101839,0.08921217284431215,0.08921217284431215
8,voigt,921.4393529943316,22.671362747155044,0.10379206301516772,0.1037920630151677
9,voigt,948.6281478935589,8.11378180974419,0.12608596123835353,0.12608596123835353
10,voigt,946.0158319862668,15.923586762534649,0.5217724635265247,0.5217724635265247
11,lorentz,1337.3069981206168,2.0000000000000226,0.06867420330463989,0.009914937818183317
12,lorentz,1434.9999999999998,199.9999999999254,42.26829551345784,0.13452579694264488
13,lorentz,1634.9999998143942,199.99999999999983,24.587559440903366,0.07826418991562135
