Peak,Model,Center (cm⁻¹),FWHM (cm⁻¹),Area,Relative Intensity
1,voigt,423.4548569884658,56.72361406215354,0.09999999999999952,0.09999999999999952
2,voigt,515.0001607842848,99.99988114037819,0.10328908059846849,0.10328908059846849
3,voigt,570.4672981095277,72.62917145714255,0.08792295289517038,0.08792295289517037
4,voigt,685.0000000000001,32.35078472952137,0.09738119857523819,0.09738119857523819
5,voigt,780.9954270992295,55.28770418982897,0.2702917419713856,0.2702917419713856
6,voigt,796.6537206226536,4.067645572643365,0.693293134638268,0.693293134638268
7,voigt,845.193102487166,1.0000039032246277,0.0642528192427644,0.0642528192427644
8,voigt,915.7408436970741,70.75738525716464,0.17458562539821765,0.17458562539821765
9,voigt,969.3585747224639,11.964970027807766,0.20613010114248012,0.20613010114248012
10,voigt,978.2285015417716,3.841711955901098,0.7136147114828583,0.7136147114828583
11,lorentz,1388.8432513581463,2.0293100018571493,4.3745181219889224e-16,5.425974112636343e-20
12,lorentz,1434.9999181842343,199.99999993575986,10.797150126074914,0.017676539650979615
13,lorentz,1566.5801739172207,199.99999999999994,251.32741228718336,0.1283514163754284
