Peak,Model,Center (cm⁻¹),FWHM (cm⁻¹),Area,Relative Intensity
1,voigt,448.1797921042208,99.99999999999999,0.03726272776158225,0.03726272776158225
2,voigt,518.7924714895107,31.335021060653954,0.035646367494375227,0.035646367494375227
3,voigt,575.5053913837871,49.6638145351133,0.04952412442014027,0.04952412442014027
4,voigt,754.9999999999999,92.9913576832257,0.038412344271531076,0.038412344271531076
5,voigt,774.217499561489,2.5035318492036436,0.2577966176502652,0.2577966176502652
6,voigt,795.8983139182926,2.326967781441051,0.9531961163788479,0.9531961163788479
7,voigt,857.296907846227,13.554640647255313,0.004277238053338714,0.004277238053338714
8,voigt,924.9999999999997,99.99999999997819,0.036304263862703356,0.036304263862703356
9,voigt,972.6523735037381,13.892811420016187,0.0763651412661277,0.0763651412661277
10,voigt,974.7314996954491,4.121199881270567,0.30047516196186236,0.30047516196186236
11,lorentz,1403.4886810154776,64.07031471130001,2.6426791682529265e-77,5.0483149287375216e-80
12,lorentz,1432.2979192932319,2.2206065290157704,7.191868678962017e-30,2.84747447870858e-34
13,lorentz,1634.9999999999998,199.99972091417243,122.975263985842,0.03981592694321499
