Peak,Model,Center (cm⁻¹),FWHM (cm⁻¹),Area,Relative Intensity
1,voigt,436.40071851797904,82.0369944919808,0.020160729464847264,0.020160729464847264
2,voigt,525.0358771074366,49.24871649462692,0.04528623865877168,0.04528623865877168
3,voigt,583.2980446826232,25.180805456324475,0.033017290662107575,0.033017290662107575
4,voigt,754.9999999999999,51.71048566706735,0.019508379825596656,0.019508379825596656
5,voigt,774.0868166904369,2.547216840241926,0.26817164630752677,0.26817164630752677
6,voigt,795.7747380168937,2.365338023721651,0.9631750620722628,0.9631750620722629
7,voigt,825.0000000000001,92.46100232249997,0.01923319217184967,0.01923319217184967
8,voigt,924.9999999999999,64.2583860643073,0.020402200442739694,0.020402200442739694
9,voigt,971.4343175879752,16.88193259771624,0.059206559296096896,0.059206559296096896
10,voigt,974.5268882341913,4.567920793966124,0.31310650895970527,0.31310650895970527
11,lorentz,1335.0000000000002,199.99999999999844,3.7294588510911266,0.011871215486327195
12,lorentz,1392.7759765710116,199.99999999606482,0.39255997232638823,0.0012495505940361645
13,lorentz,1565.0000000000002,199.99999999999997,8.945132147289545,0.028473147911071143
