Peak,Model,Center (cm⁻¹),FWHM (cm⁻¹),Area,Relative Intensity
1,voigt,417.0539103600532,88.09584701947635,0.09999999999999999,0.1
2,voigt,515.0000000000001,80.11338785681602,0.05364085188957828,0.053640851889578275
3,voigt,555.0000000000001,50.012430387949756,0.10100359441028231,0.10100359441028231
4,voigt,750.6707877500412,53.11517333635161,0.09999999999999999,0.09999999999999999
5,voigt,773.4126737789178,11.919767379237399,0.1482268856184155,0.1482268856184155
6,voigt,796.0745956969257,6.955034705096629,0.666727792945991,0.666727792945991
7,voigt,825.0000000000001,99.99999999999987,0.1285685536738415,0.1285685536738415
8,voigt,914.0633980744625,53.38872116287171,0.1467514343929301,0.1467514343929301
9,voigt,962.7311864886889,19.64135721054351,0.15912609995789662,0.15912609995789662
10,voigt,976.2093511149834,4.423053757622422,0.3985107393271374,0.3985107393271374
11,lorentz,1359.9462514776317,117.67063579891686,31.63544353153898,0.1711510802304785
12,lorentz,1434.9999999999998,199.99999999999997,21.779953193211128,0.06932771260480149
13,lorentz,1601.9069642564416,116.60166203520953,40.07543561632685,0.2188028259434963
