Peak,Model,Center (cm⁻¹),FWHM (cm⁻¹),Area,Relative Intensity
1,voigt,427.01446092988584,13.697241757354625,0.03376680921576796,0.03376680921576796
2,voigt,537.7261866059479,55.423819584947715,0.39999999999999997,0.39999999999999997
3,voigt,624.9999999999999,81.16399756744589,0.19999999999999998,0.19999999999999998
4,voigt,685.0000000000034,99.99999999999999,0.09999999999999999,0.09999999999999999
5,voigt,768.4958887266869,52.84056374300314,0.5009551385343279,0.5009551385343279
6,voigt,755.0043495128492,99.99999999719283,0.2406349481992232,0.24063494819922318
7,voigt,854.7466351434572,45.91010727726689,0.5999999999999999,0.5999999999999999
8,voigt,901.0284933754443,33.607996534680034,0.5654840230339019,0.5654840230339019
9,voigt,930.7222786263891,20.460580763413457,0.5451386288631351,0.5451386288631351
10,voigt,964.5413005884781,1.0031844173214257,2.8011161872881888e-33,2.8011161872881888e-33
11,lorentz,1362.633825337803,182.93135372464636,47.423882539508114,0.1650352276877659
12,lorentz,1434.999999999999,199.99999999999997,35.86879865883785,0.11416952800833748
13,lorentz,1586.2356175893553,98.90578280891872,37.18894455818416,0.23937089613357637
