Raman Shift (cm-1),Fitted Intensity
150.119141,1.4989746721030406e-30
152.046875,2.9256695184440674e-30
153.974609,5.691394727709205e-30
155.900391,1.1027680296026354e-29
157.828125,2.1311008332519908e-29
159.753906,4.102027927029114e-29
161.679688,7.869710428566532e-29
163.603516,1.50383208491507e-28
165.529297,2.8661014070857947e-28
167.453125,5.440856454272553e-28
169.376953,1.0294642545064393e-27
171.300781,1.9414381634296285e-27
173.222656,3.646923306687014e-27
175.146484,6.832457673872321e-27
177.068359,1.2750316105749187e-26
178.990234,2.3715710861796306e-26
180.910156,4.3939067103081575e-26
182.832031,8.119136908576949e-26
184.751953,1.4944152478538528e-25
186.671875,2.7416171673666096e-25
188.591797,5.013216115031155e-25
190.511719,9.136926652742601e-25
192.429688,1.658803509542337e-24
194.347656,3.0016953566075935e-24
196.265625,5.413964588231028e-24
198.183594,9.732876284662257e-24
200.099609,1.7429569200796219e-23
202.015625,3.111086789336474e-23
203.933594,5.538240386098456e-23
205.847656,9.815278318595148e-23
207.763672,1.734873316801313e-22
209.677734,3.0546588186638505e-22
211.59375,5.364003957903593e-22
213.507812,9.383139180710394e-22
215.419922,1.6351007129263534e-21
217.333984,2.8416500585759407e-21
219.246094,4.919679960835588e-21
221.158203,8.489627996460505e-21
223.070312,1.460246407351513e-20
224.982422,2.503510582065865e-20
226.892578,4.2758386328501605e-20
228.802734,7.279168069995398e-20
230.712891,1.2351817653597238e-19
232.623047,2.0891443102483152e-19
234.533203,3.5220423515114324e-19
236.441406,5.915337416611025e-19
238.349609,9.902752389290875e-19
240.257812,1.6524326485755667e-18
242.166016,2.7484204993590736e-18
244.072266,4.5541773548246706e-18
245.980469,7.525815649256997e-18
247.886719,1.2389893071468237e-17
249.791016,2.032152087130387e-17
251.697266,3.3239944705132233e-17
253.601562,5.416787670461797e-17
255.507812,8.803107402894895e-17
257.412109,1.4253142040778435e-16
259.314453,2.2991640816748406e-16
261.21875,3.698626162881677e-16
263.121094,5.92786800724703e-16
265.023438,9.470146515966708e-16
266.925781,1.508046911275111e-15
268.828125,2.393719166446022e-15
270.728516,3.785539500965905e-15
272.628906,5.967400996285798e-15
274.529297,9.376607256608695e-15
276.429688,1.468619153200631e-14
278.330078,2.2928492788019143e-14
280.228516,3.566549189009346e-14
282.126953,5.530019436400435e-14
284.025391,8.546947312490007e-14
285.923828,1.316743326678799e-13
287.822266,2.0220745035854356e-13
289.71875,3.0939223687629465e-13
291.615234,4.718786939983341e-13
293.511719,7.173979277885823e-13
295.40625,1.086709002978578e-12
297.302734,1.641578838369881e-12
299.197266,2.4707947886359776e-12
301.091797,3.7070041777881805e-12
302.986328,5.543972093604817e-12
304.878906,8.26137831619323e-12
306.773438,1.2276515447554234e-11
308.666016,1.8177493735166388e-11
310.558594,2.6829174795605488e-11
312.449219,3.945687822667353e-11
314.341797,5.786637901948006e-11
316.232422,8.45619221947011e-11
318.123047,1.2318013226545695e-10
320.013672,1.788643407571445e-10
321.904297,2.5889528836276624e-10
323.792969,3.7340321314742497e-10
325.681641,5.368489282043469e-10
327.570312,7.693893728370835e-10
329.458984,1.0991589361692176e-09
331.347656,1.5652904749137156e-09
333.234375,2.2212267823505643e-09
335.121094,3.1420554718325124e-09
337.007812,4.43055063226776e-09
338.894531,6.227656174249791e-09
340.779297,8.722954646938253e-09
342.664062,1.2179469220709736e-08
344.548828,1.6951925086852513e-08
346.433594,2.3519902874452195e-08
348.318359,3.252952984136892e-08
350.201172,4.483344950021954e-08
352.085938,6.16165801971563e-08
353.96875,8.43874438111681e-08
355.849609,1.1517208236464459e-07
357.732422,1.5674233907128463e-07
359.613281,2.125775248172488e-07
361.494141,2.8739550160187655e-07
363.375,3.873236757982627e-07
365.255859,5.203549039409392e-07
367.134766,6.96667965890934e-07
369.015625,9.300706195168691e-07
370.894531,1.237397873648148e-06
372.773438,1.6411082892660716e-06
374.650391,2.169072563308381e-06
376.529297,2.8587228056508596e-06
378.40625,3.7547574085134787e-06
380.283203,4.916193019497542e-06
382.160156,6.41672127487586e-06
384.035156,8.346730394963806e-06
385.912109,1.0826210467471072e-05
387.787109,1.3994530779200734e-05
389.662109,1.8033509726952753e-05
391.537109,2.316552868388569e-05
393.410156,2.9657398472043353e-05
395.283203,3.7850076450180996e-05
397.15625,4.81552167765645e-05
399.029297,6.107490441067301e-05
400.902344,7.72191687325425e-05
402.773438,9.730300040057949e-05
404.646484,0.00012225754365683726
406.517578,0.00015309702990004423
408.388672,0.0001911188687309999
410.257812,0.00023778671282806895
412.128906,0.00029499672901931286
413.998047,0.0003647513519502008
415.867188,0.00044959880363606227
417.736328,0.0005524613023610258
419.603516,0.0006766058994871201
421.470703,0.0008260778948974995
423.339844,0.0010056484083899738
425.207031,0.0012202046679230375
427.072266,0.0014756550800094047
428.939453,0.001779407761833849
430.804688,0.0021386247379438423
432.669922,0.0025624052718715854
434.535156,0.0030606609535177355
436.400391,0.0036444906300091146
438.263672,0.00432548994179801
440.126953,0.005117887823761153
