Peak,Model,Center (cm⁻¹),FWHM (cm⁻¹),Area,Relative Intensity
1,voigt,278.9162057255537,79.876491074277,0.1690679872593941,0.1690679872593941
2,voigt,427.7709020590271,19.49547770630593,0.05338560056184538,0.05338560056184539
3,lorentz,522.7774507479714,28.629146573089592,20.54066226788594,0.4553541368168195
4,voigt,561.3260595289918,46.76181126794423,0.39999999999999997,0.39999999999999997
5,voigt,656.1454014949575,21.49590818384698,0.15735786736961255,0.15735786736961255
6,lorentz,759.6002827168357,71.12061135645011,67.02959704687153,0.5998960610530836
7,lorentz,789.1251300004518,26.254926482065787,16.112365089578432,0.3903054294110462
8,voigt,858.6506515679572,43.206376591113404,0.5233625774175031,0.5233625774175031
9,voigt,902.549499803157,30.196200649251967,0.4949088684386343,0.4949088684386343
10,voigt,931.5941252080625,19.0381921939685,0.5415421750239858,0.5415421750239858
11,voigt,949.1345505972063,13.516524541974547,0.5161080854033996,0.5161080854033996
12,lorentz,1335.0000000000002,199.99999999999997,24.091281211764123,0.0766845429379769
13,lorentz,1414.0891020678591,72.88311980058008,17.48497290875069,0.152702466802919
14,lorentz,1588.7394645950842,199.99999999999997,33.24248644619707,0.10580725640272699
