Wavenumber (cm^-1),Intensity (a.u.)
172.736,1373.7
175.633,1374.46
178.529,1376.64
181.425,1373.62
184.319,1374.36
187.212,1375.78
190.105,1375.52
192.996,1378.16
195.886,1376.16
198.775,1376.52
201.664,1378.26
204.551,1376.3
207.437,1375.8
210.323,1376.06
213.207,1376.24
216.09,1377.26
218.973,1377.46
221.854,1377.68
224.735,1375.66
227.614,1376.48
230.492,1377.96
233.37,1376.92
236.246,1376.8
239.122,1374.54
241.996,1376.92
244.87,1377.08
247.742,1375.94
250.614,1376.3
253.484,1374.62
256.354,1377.44
259.222,1377.64
262.09,1374.62
264.956,1378.22
267.822,1377.04
270.687,1374.4
273.55,1374.1
276.413,1375.62
279.275,1375.26
282.135,1375.24
284.995,1375.52
287.854,1374.94
290.711,1374.62
293.568,1373.56
296.424,1373.56
299.279,1373.98
302.133,1373.26
304.986,1375.08
307.838,1373.6
310.689,1373.82
313.538,1372.3
316.387,1373.4
319.236,1373.96
322.083,1374.44
324.929,1372.16
327.774,1373.08
330.618,1373.24
333.461,1373.12
336.303,1372.54
339.145,1371.4
341.985,1372.48
344.824,1372.02
347.663,1371.68
350.5,1371.06
353.336,1372.92
356.172,1370.82
359.006,1371.28
361.84,1371.24
364.672,1371.04
367.504,1369.1
370.335,1371.18
373.164,1370.14
375.993,1370.98
378.821,1370.3
381.648,1370.34
384.473,1371.06
387.298,1370.16
390.122,1372.34
392.945,1368.1
395.767,1368.96
398.588,1371.0
401.408,1369.66
404.227,1370.22
407.046,1370.16
409.863,1370.46
412.679,1371.7
415.494,1368.34
418.309,1368.34
421.122,1371.26
423.935,1369.92
426.746,1369.66
429.557,1369.42
432.366,1369.44
435.175,1370.4
437.983,1368.68
440.79,1372.22
443.595,1369.68
446.4,1369.62
449.204,1369.78
452.007,1370.2
454.809,1368.7
457.61,1368.08
460.41,1368.88
463.21,1369.36
466.008,1369.18
468.805,1369.52
471.602,1368.5
474.397,1369.02
477.192,1369.18
479.985,1368.44
482.778,1367.98
485.569,1370.64
488.36,1367.94
491.15,1371.32
493.939,1370.94
496.727,1371.14
499.514,1371.48
502.3,1370.08
505.085,1371.02
507.869,1370.6
510.652,1371.4
513.435,1373.08
516.216,1375.38
518.996,1377.8
521.776,1380.66
524.554,1382.24
527.332,1382.66
530.109,1383.2
532.885,1378.08
535.659,1375.34
538.433,1374.72
541.206,1374.54
543.978,1373.14
546.75,1373.02
549.52,1371.4
552.289,1371.72
555.057,1371.54
557.825,1370.52
560.591,1369.78
563.357,1370.28
566.122,1370.64
568.885,1369.26
571.648,1370.5
574.41,1370.08
577.171,1369.64
579.931,1369.42
582.69,1369.02
585.448,1368.96
588.206,1369.38
590.962,1367.74
593.717,1368.26
596.472,1368.78
599.225,1368.68
601.978,1369.08
604.73,1367.92
607.481,1367.96
610.231,1368.1
612.98,1368.08
615.728,1366.86
618.475,1368.04
621.221,1367.66
623.967,1366.72
626.711,1366.96
629.454,1368.0
632.197,1366.7
634.939,1365.34
637.68,1365.42
640.419,1367.06
643.158,1367.18
645.896,1367.66
648.634,1366.6
651.37,1366.4
654.105,1367.92
656.84,1367.18
659.573,1366.06
662.306,1366.38
665.037,1367.5
667.768,1367.6
670.498,1367.72
673.227,1367.98
675.955,1366.38
678.682,1366.62
681.409,1366.32
684.134,1365.54
686.858,1366.32
689.582,1366.26
692.305,1367.6
695.026,1367.58
697.747,1367.96
700.467,1367.28
703.186,1368.1
705.905,1366.86
708.622,1367.7
711.338,1367.34
714.054,1366.5
716.768,1369.4
719.482,1369.66
722.195,1370.16
724.907,1370.6
727.618,1368.76
730.328,1371.34
733.037,1369.88
735.745,1370.12
738.453,1371.0
741.159,1371.86
743.865,1373.38
746.569,1371.12
749.273,1371.9
751.976,1373.48
754.678,1372.4
757.379,1371.08
760.08,1372.68
762.779,1374.06
765.478,1375.18
768.175,1372.96
770.872,1373.96
773.568,1373.08
776.263,1373.08
778.957,1373.78
781.65,1373.28
784.342,1375.14
787.034,1372.72
789.724,1373.84
792.414,1372.18
795.103,1372.56
797.791,1371.42
800.478,1374.26
803.164,1371.62
805.849,1371.12
808.533,1371.5
811.217,1368.14
813.899,1369.86
816.581,1370.3
819.262,1369.02
821.942,1370.88
824.621,1371.88
827.299,1368.28
829.977,1370.58
832.653,1370.14
835.329,1371.0
838.003,1371.9
840.677,1371.62
843.35,1370.9
846.022,1370.24
848.693,1369.44
851.364,1371.32
854.033,1370.5
856.702,1371.3
859.37,1371.24
862.036,1371.58
864.702,1369.9
867.367,1371.46
870.032,1372.18
872.695,1371.86
875.358,1371.54
878.019,1371.16
880.68,1370.94
883.34,1370.48
885.999,1370.76
888.657,1369.6
891.314,1372.5
893.971,1373.54
896.626,1372.72
899.281,1371.86
901.935,1371.54
904.588,1371.94
907.24,1372.1
909.891,1370.24
912.541,1370.42
915.191,1372.3
917.84,1370.94
920.487,1372.38
923.134,1371.88
925.78,1369.1
928.426,1370.6
931.07,1370.42
933.714,1369.2
936.356,1368.72
938.998,1368.14
941.639,1368.5
944.279,1367.08
946.918,1365.7
949.557,1365.06
952.194,1363.64
954.831,1362.54
957.466,1361.64
960.101,1362.26
962.735,1363.38
965.369,1360.88
968.001,1363.08
970.633,1360.4
973.263,1361.6
975.893,1361.16
978.522,1359.82
981.15,1360.98
983.777,1360.88
986.404,1359.98
989.029,1359.74
991.654,1360.68
994.278,1360.6
996.901,1360.92
999.523,1360.38
1002.14,1360.62
1004.77,1359.94
1007.38,1360.92
1010.0,1358.6
1012.62,1359.3
1015.24,1360.32
1017.85,1360.54
1020.47,1361.26
1023.08,1360.18
1025.7,1360.0
1028.31,1359.7
1030.92,1360.14
1033.53,1359.74
1036.14,1360.08
1038.75,1360.74
1041.36,1359.56
1043.97,1360.88
1046.58,1359.86
1049.18,1358.68
1051.79,1359.3
1054.39,1360.66
1057.0,1359.24
1059.6,1360.66
1062.2,1359.18
1064.8,1360.28
1067.4,1360.26
1070.0,1359.98
1072.6,1360.52
1075.2,1359.48
1077.8,1360.54
1080.39,1360.28
1082.99,1360.84
1085.58,1359.2
1088.18,1359.18
1090.77,1360.1
1093.36,1361.62
1095.95,1360.24
1098.54,1361.08
1101.13,1358.8
1103.72,1359.38
1106.31,1360.26
1108.9,1358.84
1111.48,1358.44
1114.07,1359.7
1116.65,1358.6
1119.24,1359.32
1121.82,1360.28
1124.4,1360.1
1126.98,1360.12
1129.56,1359.72
1132.14,1359.82
1134.72,1359.24
1137.3,1359.42
1139.87,1358.08
1142.45,1358.78
1145.03,1359.0
1147.6,1359.96
1150.17,1359.74
1152.75,1357.92
1155.32,1360.12
1157.89,1358.88
1160.46,1359.76
1163.03,1357.76
1165.6,1360.12
1168.17,1359.72
1170.74,1360.2
1173.3,1358.94
1175.87,1360.38
1178.43,1359.0
1181.0,1360.18
1183.56,1359.66
1186.12,1360.82
1188.68,1360.84
1191.24,1358.74
1193.8,1359.66
1196.36,1360.86
1198.92,1358.82
1201.48,1360.08
1204.04,1358.92
1206.59,1358.6
1209.15,1358.24
1211.7,1359.76
1214.25,1359.98
1216.81,1358.56
1219.36,1359.6
1221.91,1359.28
1224.46,1358.24
1227.01,1359.82
1229.56,1360.96
1232.1,1358.02
1234.65,1359.04
1237.2,1359.7
1239.74,1358.84
1242.29,1359.88
1244.83,1360.08
1247.37,1359.22
1249.92,1359.76
1252.46,1358.94
1255.0,1360.2
1257.54,1360.5
1260.08,1359.88
1262.61,1360.6
1265.15,1358.78
1267.69,1359.22
1270.22,1359.54
1272.76,1359.3
1275.29,1359.04
1277.83,1359.52
1280.36,1360.6
1282.89,1359.98
1285.42,1359.54
1287.95,1359.98
1290.48,1359.16
1293.01,1358.68
1295.54,1358.74
1298.06,1359.86
1300.59,1360.06
1303.11,1359.1
1305.64,1360.56
1308.16,1358.7
1310.69,1359.62
1313.21,1361.36
1315.73,1359.34
1318.25,1358.9
1320.77,1360.58
1323.29,1360.54
1325.81,1359.48
1328.32,1359.7
1330.84,1360.2
1333.36,1360.12
1335.87,1359.78
1338.38,1360.62
1340.9,1360.5
1343.41,1361.7
1345.92,1360.36
1348.43,1359.1
1350.94,1361.84
1353.45,1359.7
1355.96,1360.32
1358.47,1360.44
1360.98,1360.0
1363.48,1360.42
1365.99,1362.02
1368.49,1360.66
1371.0,1360.54
1373.5,1361.14
1376.0,1360.7
1378.5,1359.58
1381.0,1360.48
1383.5,1360.46
1386.0,1361.4
1388.5,1359.86
1391.0,1360.76
1393.5,1359.7
1395.99,1360.0
1398.49,1360.52
1400.98,1360.7
1403.48,1360.34
1405.97,1359.54
1408.46,1360.24
1410.95,1360.48
1413.44,1359.82
1415.93,1359.86
1418.42,1360.42
1420.91,1359.56
1423.4,1360.98
1425.88,1359.34
1428.37,1360.86
1430.86,1360.42
1433.34,1359.18
1435.82,1359.88
1438.31,1359.36
1440.79,1360.74
1443.27,1358.84
1445.75,1359.5
1448.23,1361.38
1450.71,1360.44
1453.19,1360.92
1455.66,1358.82
1458.14,1359.3
1460.62,1358.22
1463.09,1358.68
1465.57,1358.98
1468.04,1359.18
1470.51,1358.26
1472.98,1360.34
1475.46,1358.12
1477.93,1359.8
1480.4,1359.1
1482.86,1359.46
1485.33,1359.36
1487.8,1359.24
1490.27,1359.68
1492.73,1359.24
1495.2,1359.62
1497.66,1359.54
1500.13,1359.46
1502.59,1359.96
1505.05,1358.3
1507.51,1359.36
1509.97,1359.34
1512.43,1357.92
1514.89,1359.14
1517.35,1358.66
1519.81,1358.62
1522.26,1358.76
1524.72,1359.52
1527.18,1358.48
1529.63,1359.58
1532.08,1358.96
1534.54,1358.16
1536.99,1358.76
1539.44,1358.84
1541.89,1359.04
1544.34,1360.54
1546.79,1359.22
1549.24,1360.06
1551.69,1358.44
1554.13,1359.32
1556.58,1359.78
1559.02,1360.08
1561.47,1358.88
1563.91,1359.92
1566.36,1360.18
1568.8,1359.32
1571.24,1360.12
1573.68,1359.68
1576.12,1359.06
1578.56,1359.82
1581.0,1359.66
1583.44,1359.46
1585.87,1358.74
1588.31,1359.18
1590.74,1361.08
1593.18,1359.06
1595.61,1358.9
1598.05,1357.48
1600.48,1358.38
1602.91,1357.92
1605.34,1359.06
1607.77,1359.96
1610.2,1358.32
1612.63,1360.02
1615.06,1356.98
1617.49,1358.58
1619.91,1357.66
1622.34,1357.48
1624.76,1356.92
1627.19,1358.6
1629.61,1358.54
1632.03,1358.34
1634.46,1357.3
1636.88,1357.14
1639.3,1356.76
1641.72,1356.94
1644.14,1356.58
1646.56,1355.88
1648.97,1357.16
1651.39,1356.18
1653.81,1356.94
1656.22,1356.78
1658.64,1356.46
1661.05,1356.44
1663.46,1357.02
1665.88,1357.66
1668.29,1357.42
1670.7,1357.5
1673.11,1355.72
1675.52,1356.78
1677.93,1356.1
1680.34,1356.56
1682.74,1356.42
1685.15,1356.24
1687.56,1356.58
1689.96,1355.68
1692.36,1356.46
1694.77,1356.3
1697.17,1357.42
1699.57,1356.2
1701.97,1356.38
1704.38,1357.52
1706.78,1356.3
1709.17,1356.1
1711.57,1356.3
1713.97,1356.58
1716.37,1355.88
1718.76,1355.62
1721.16,1356.64
1723.55,1355.72
1725.95,1356.2
1728.34,1356.42
1730.73,1355.5
1733.13,1355.28
1735.52,1354.94
1737.91,1355.48
1740.3,1355.06
1742.69,1356.34
1745.07,1355.58
1747.46,1356.12
1749.85,1356.14
1752.24,1354.46
1754.62,1356.04
1757.01,1354.9
1759.39,1354.7
1761.77,1355.52
1764.15,1356.94
1766.54,1356.02
1768.92,1354.3
1771.3,1355.2
1773.68,1355.68
1776.06,1356.66
1778.43,1355.36
1780.81,1355.82
1783.19,1356.32
1785.56,1354.54
1787.94,1356.9
1790.31,1355.68
1792.69,1355.34
1795.06,1355.9
1797.43,1355.46
1799.81,1356.02
1802.18,1356.34
1804.55,1354.16
1806.92,1356.04
1809.28,1355.34
1811.65,1355.74
1814.02,1355.6
1816.39,1354.88
1818.75,1354.22
1821.12,1355.16
1823.48,1355.48
1825.85,1354.6
1828.21,1354.6
1830.57,1356.12
1832.93,1354.88
1835.29,1355.22
1837.65,1355.78
1840.01,1354.46
1842.37,1353.58
1844.73,1353.88
1847.09,1355.42
1849.44,1354.88
1851.8,1354.5
1854.16,1354.7
1856.51,1354.8
1858.86,1355.0
1861.22,1355.1
1863.57,1355.56
1865.92,1355.08
1868.27,1354.06
1870.62,1355.58
1872.97,1354.78
1875.32,1354.26
1877.67,1354.96
1880.02,1355.68
1882.36,1353.82
1884.71,1354.8
1887.05,1355.5
1889.4,1353.98
1891.74,1355.2
1894.09,1355.2
1896.43,1354.72
1898.77,1355.0
1901.11,1354.76
1903.45,1354.1
1905.79,1355.22
1908.13,1353.54
1910.47,1354.34
1912.81,1354.64
1915.14,1354.2
1917.48,1353.9
1919.81,1354.64
1922.15,1356.24
1924.48,1353.86
1926.82,1355.0
1929.15,1354.12
1931.48,1354.66
1933.81,1354.1
1936.14,1355.42
1938.47,1355.52
1940.8,1354.08
1943.13,1354.2
1945.46,1354.34
1947.78,1354.36
1950.11,1353.38
1952.44,1352.86
1954.76,1355.2
1957.09,1354.88
1959.41,1354.88
1961.73,1354.58
1964.05,1353.62
1966.38,1353.28
1968.7,1354.32
1971.02,1354.38
1973.34,1353.38
1975.66,1353.6
1977.97,1353.92
1980.29,1355.14
1982.61,1354.82
1984.92,1353.84
1987.24,1353.9
1989.55,1355.56
1991.87,1354.44
1994.18,1353.7
1996.49,1353.3
1998.8,1354.1
2001.12,1354.7
2003.43,1353.88
2005.74,1353.66
2008.04,1355.14
2010.35,1354.18
2012.66,1354.58
2014.97,1355.02
2017.27,1354.06
2019.58,1355.72
2021.88,1354.78
2024.19,1354.56
2026.49,1354.06
2028.8,1354.08
2031.1,1355.24
2033.4,1354.06
2035.7,1354.54
2038.0,1353.94
2040.3,1353.88
2042.6,1353.98
2044.9,1354.7
2047.19,1353.18
2049.49,1354.16
2051.79,1353.36
2054.08,1354.42
2056.38,1354.44
2058.67,1353.72
2060.96,1354.06
2063.26,1354.06
2065.55,1353.4
